product,sale_price,Expected Price
"Multipurpose Jar With Lid - Acrylic, Bb-1185",459.0,479.75966143605524
Plastic Pro Lock 4 Side Lock Container - Gray,169.0,176.64353547427743
Yummy Tummy Lunch Pack,69.0,72.12073341849197
"Borosilicate Glass Lunch Box/Tiffin Box Square - Microwavable, Premium, Airvent Green Lid With Bag",869.0,908.3031498647756
"Glass Water Bottle With Round Base - Red, B1364",209.0,218.4526562965916
Borosilicate Glass Jar/ Glass Container - Qube Fresh,249.0,260.2617771189058
"Glass Water Bottle With Round Base - Yellow, B1363",209.0,218.4526562965916
"Glass Bottle With Plastic Cover - White, BB1307",219.0,228.90493650217016
"Lunch Bag - With 3 Container, Big Bite, Blue",329.0,343.88001876353417
"Disney Mickey Mouse 2 in 1 Snackeez Bottle with Snack Box, 470 ml",269.0,281.1663375300629
Multipurpose Lock N Pack Plastic Container,399.0,417.04598020258396
"Plastic Smart Round Container - Big , Assorted Colour",49.0,51.21617300733487
"Diamond Lock Plastic Container - Printed, Rectangle, Assorted Colour",189.0,197.54809588543452
"Borosilicate Food Container With Lid - Rectangular, Extra Large",479.0,500.66422184721233
Plastic Polka Masala Container Transparent - Assorted Colour,79.0,82.57301362407051
"Trendy Stainless Steel Bottle With Steel Cap - Steel Matt Finish, PXP 1002 CV",229.0,239.3572167077487
"Penta Plastic Pet Water Bottle - Violet, Wide Mouth",149.0,155.73897506312034
Marvel Spider Man 304 Stainless Steel Lunch Box/Tiffin Box - HMWWLB 00814-SPM,559.0,584.2824634918408
Glass Water Bottle With Maroon Cap - BB1245MRN,279.0,291.6186177356414
Disney Frozen Kids Plastic Lunch Box With Detachable Steel Tray,339.0,354.3322989691127
Disney Belle Princess Sipper Plastic Kids Water Bottle With Neck Strap,179.0,187.09581567985597
Loopy Pet water Bottle - Violet,249.0,260.2617771189058
Ivory Premium Glass Bottle - With Yellow Floral,205.0,214.27174421436018
"Airtight Plastic Container Set - Printed, Super Stylo, Pink",299.0,312.5231781467985
Marino Air-Tight Glass Storage Jar With Green Lid,279.0,291.6186177356414
Double Walled Glass Bottle With Cream Cap - BB1241CRM,279.0,291.6186177356414
Health First Round Glass Tiffin Set - With Olive Green Bag,975.0,1019.0973200439082
"Insulated Stainless Steel Easy Sip Bottle - Wanna Be A Racer, Double Wall",749.0,782.875787397833
Plastic Cubics Container - Purple,159.0,166.19125526869888
"Frost Stainless Steel Bottle With Steel Cap - Metallic Pink Finish, PXP 1009 BK",219.0,228.90493650217016
"Gloria Multi Utility Basket - Small, Medium, Large, Beige",679.0,709.7098259587833
"Doraemon Super Big Plastic Lunch Box - Assorted Character, Assorted Colour",129.0,134.83441465196324
Max Fresh New Click Plastic Lunch Box - Green,479.0,500.66422184721233
"Water Bottle - Insulated, Assorted Colour, Stainless Steel",809.0,845.5894686313044
"Orbit Stainless Steel Lunch Box Insulated - 3 Deck, Blue",409.0,427.49826040816254
Stainless Steel Water Bottle - Silver BB 497,430.0,449.44804883987746
Pet Selo Container Set - Silver,229.0,239.3572167077487
